,manufacturer,car_name,year,no_of_owners,kms_driven,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,price,links
237,Mahindra,TUV,2018,First,"50,000",thiruvananthapuram,Manual,18.49,Diesel,Individual,7,1493,100,6.72,https://www.cardekho.com/used-car-details/used-Mahindra-TUV-300-2015-2019-mHAWK100-T8-cars-Thiruvananthapuram_415F424BC8100ACEC1DABA083E794707.htm
238,Maruti,Wagon,2016,First,"75,000",thiruvananthapuram,Automatic,20.51,Petrol,Individual,5,998,67,3.9,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-AMT-VXI-Option-cars-Thiruvananthapuram_F4F14154ED3CD7494D963F4220B86E2B.htm
239,Jeep,Compass,2019,First,"50,000",thiruvananthapuram,Manual,17.1,Diesel,Individual,5,1956,170.63,18.15,https://www.cardekho.com/used-car-details/used-Jeep-Compass-2017-2021-2.0-Limited-Plus-BSIV-cars-Thiruvananthapuram_781BC1C110AB6FC3D3AA3A504E9C1B51.htm
240,Chevrolet,Spark,2012,Second,"25,000",thiruvananthapuram,Manual,18.0,Petrol,Individual,5,995,62,1.15,https://www.cardekho.com/used-car-details/used-Chevrolet-Spark-2007-2012-1.0-LS-cars-Thiruvananthapuram_4E5383EB8FA5E39C8A5022622EF95831.htm
241,Honda,WR-V,2017,First,"15,000",thiruvananthapuram,Manual,17.5,Petrol,Individual,5,1199,88.7,6.5,https://www.cardekho.com/used-car-details/used-Honda-WRV-2017-2020-i-VTEC-S-cars-Thiruvananthapuram_F3B266A423FDAD2ABD127F163ADCEAB7.htm
242,OpelCorsa,1.4,2003,Second,"1,08,000",thiruvananthapuram,Manual,14.2,Petrol,Individual,5,1389,88,"90,000",https://www.cardekho.com/used-car-details/used-OpelCorsa-1.4-GLS-cars-Thiruvananthapuram_5B0893CB647BE750961BD98580B7E274.htm
243,Hyundai,Santro,2008,First,"80,000",thiruvananthapuram,Manual,17.92,Petrol,Individual,5,1086,62.1,1.2,https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Xing-GLS-cars-Thiruvananthapuram_27629439951CAF49F256E8F22C25AE51.htm
244,Renault,Triber,2020,First,"4,500",thiruvananthapuram,Manual,20.0,Petrol,Individual,7,999,71,7.7,https://www.cardekho.com/used-car-details/used-Renault-Triber-RXZ-cars-Thiruvananthapuram_821C411860EA73D8BA678A0314DD418D.htm
245,Hyundai,Creta,2016,First,"82,000",lucknow,Manual,19.67,Diesel,Dealer,5,1582,126.2,8.5,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-2015-2020-1.6-CRDi-SX-Option-cars-Lucknow_2E788894126A3F30FE4AB18F0FA6FBDE.htm
246,Hyundai,Santro,2008,First,"68,251",lucknow,Manual,0.0,Petrol,Individual,5,1086,62,1,https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Xing-GL-cars-Lucknow_20571C912CED1A68A1762CBED3D62413.htm
