,manufacturer,car_name,manufacturing_year,no_of_owners,kms_driven,location,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,wheel_size,price
92,Maruti,Swift,2015,First,"78,000",Amer Clark Hotel,jaipur,Manual,26.59,Diesel,Dealer,5,1248,74,14,5.75
93,Hyundai,i20,2014,First,"73,000",Jhotwara,jaipur,Manual,22.54,Diesel,Dealer,5,1396,88.73,N/A,5.4
94,Honda,City,2016,First,"86,000",Shyam Nagar,jaipur,Manual,17.8,Petrol,Dealer,5,1497,117.3,15,6.1
95,Maruti,Baleno,2017,First,"55,087",Jawahar Nagar,jaipur,Manual,21.01,Petrol,Dealer,5,1197,81.80,R15,6.05
96,Mahindra,Thar,2018,First,"16,000",Kalighat,kolkata,Manual,16.55,Diesel,Dealer,6,2498,105,16,8.18
97,Honda,BR-V,2017,First,"22,022",Kasba,kolkata,Manual,21.9,Diesel,Dealer,7,1498,98.6,16,7.75
98,Hyundai,Grand,2018,First,"41,000",Garia BT,kolkata,Manual,18.9,Petrol,Dealer,5,1197,81.86,14,4.5
99,Honda,City,2015,First,"58,058",Kasba,kolkata,Manual,17.4,Petrol,Dealer,5,1497,117.3,15,5
100,Toyota,Etios,2014,First,"45,745",Council House Street,kolkata,Manual,16.78,Petrol,Dealer,5,1496,88.73,15,3.29
101,Toyota,Innova,2019,First,"6,006",Kasba,kolkata,Manual,13.68,Diesel,Dealer,7,2393,147.8,N/A,19.5
102,Hyundai,Grand,2019,First,"14,000",Manicktala,kolkata,Manual,18.9,Petrol,Dealer,5,1197,81.86,14,5.1
103,Honda,Amaze,2016,First,"19,200",Maheshtala Gobindapur,kolkata,Manual,17.8,Petrol,Dealer,5,1198,86.7,N/A,4.6
104,Honda,City,2014,First,"35,000",Kalighat,kolkata,Manual,26.0,Diesel,Dealer,5,1498,98.6,N/A,5.11
105,Maruti,Ciaz,2017,First,"35,000",Council House Street,kolkata,Manual,28.09,Diesel,Dealer,5,1248,88.5,N/A,6.5
106,Toyota,Etios,2016,First,"24,024",Kasba,kolkata,Manual,16.78,Petrol,Dealer,5,1496,88.73,14,4.5
107,Hyundai,Creta,2016,First,"48,000",Kalighat,kolkata,Manual,20.5,Diesel,Dealer,5,1582,126.2,N/A,8.49
108,Toyota,Etios,2016,First,"32,032",Kasba,kolkata,Manual,16.78,Petrol,Dealer,5,1496,88.73,15,4.5
109,Toyota,Etios,2012,First,"44,001",Kasba,kolkata,Manual,17.6,Petrol,Dealer,5,1496,88.7,N/A,3
110,Mitsubishi,Outlander,2012,First,"58,000",Kasba,kolkata,Automatic,11.3,Petrol,Dealer,5,2360,170,N/A,6.6
111,Honda,City,2015,First,"50,000",Garia BT,kolkata,Manual,17.4,Petrol,Dealer,5,1497,117.3,15,5.35
112,Tata,Sumo,2016,First,"95,095",Kasba,kolkata,Manual,15.3,Diesel,Dealer,7,2956,83.83,15,4.25
113,Datsun,GO,2020,First,"23,010",Kasba,kolkata,Manual,19.02,Petrol,Dealer,5,1198,67.05,14,4.25
114,Maruti,Swift,2014,First,"33,981",Council House Street,kolkata,Manual,23.4,Diesel,Dealer,5,1248,74,N/A,4.39
115,Maruti,Swift,2014,First,"39,785",Council House Street,kolkata,Manual,23.4,Diesel,Dealer,5,1248,74,N/A,4.35
116,Honda,City,2016,First,"32,302",Jogeshwari West,mumbai,Automatic,18.0,Petrol,Dealer,5,1497,117.3,N/A,8.2
117,Toyota,Innova,2018,First,"29,000",New Prabhadevi Road,mumbai,Manual,13.68,Diesel,Dealer,7,2393,147.8,N/A,17.75
118,Mercedes-Benz,GLS,2019,First,"9,700",Vileeparle,mumbai,Automatic,,Diesel,Dealer,,,,,89
119,Hyundai,i20,2016,First,"40,000",nerul,mumbai,Manual,21.19,Diesel,Dealer,5,1396,88.73,N/A,7.2
120,Hyundai,i10,2014,First,"31,005",Malad West,mumbai,Manual,20.36,Petrol,Dealer,5,1197,78.9,N/A,3
